Experiment       | Dataset | SLO Target (ms) | Avg RTT | Avg BW | Mu (SLO Penalty) | Train Accuracy | Train Latency (ms) | Final Loss | Test Accuracy | Avg Latency (ms) | P95 Latency (ms) | Exit Distribution                           | Exit Head Final | Split Point
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
A_slo_040        | fmnist  | 40.0            | 50.0    | 15.0   | 10.00            | 98.07          | 30.60              | 2.3424     | 92.63         | 30.52            | 30.52            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
A_slo_060        | fmnist  | 60.0            | 50.0    | 15.0   | 10.00            | 98.05          | 30.59              | 1.5774     | 92.29         | 30.52            | 30.52            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
A_slo_100        | fmnist  | 100.0           | 50.0    | 15.0   | 10.00            | 97.91          | 30.61              | 0.9693     | 92.31         | 30.52            | 30.52            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
B_net_fast       | fmnist  | 70.0            | 10.0    | 50.0   | 10.00            | 97.85          | 24.42              | 1.0975     | 92.68         | 24.84            | 40.72            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 0          
B_net_impossible | fmnist  | 70.0            | 500.0   | 1.0    | 10.00            | 98.01          | 30.67              | 1.3634     | 92.12         | 30.52            | 30.52            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
B_net_slow       | fmnist  | 70.0            | 75.0    | 3.0    | 10.00            | 97.94          | 30.77              | 1.3672     | 92.28         | 30.52            | 30.52            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
C_data_cifar     | cifar10 | 70.0            | 50.0    | 15.0   | 10.00            | 86.55          | 30.60              | 1.6822     | 84.50         | 30.52            | 30.52            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
C_data_mnist     | mnist   | 70.0            | 50.0    | 15.0   | 10.00            | 99.68          | 31.02              | 1.3383     | 99.10         | 30.52            | 30.52            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
D_edge_003       | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 98.08          | 4.84               | 0.2555     | 92.49         | 4.82             | 4.82             | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
D_edge_050       | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 98.03          | 76.93              | 4.5574     | 91.89         | 76.68            | 93.58            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 0          
D_edge_100       | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 98.06          | 90.12              | 6.7943     | 92.38         | 91.23            | 108.64           | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 0          
default          | fmnist  | 70.0            | 50.0    | 15.0   | 10.00            | 97.94          | 30.60              | 1.3605     | 91.96         | 30.52            | 30.52            | Exit 1:     0, Exit 2: 10000, Exit 3:     0 | 0               | 3          
